id,Name,Phone,Email,Location,Android,iPhone,Desktop
299,A. Browning,702-276-7562,Aadam.Browning@example.com,"San Francisco, USA",True,True,True
335,A. Daniel,877-314-7868,Aaminah.Daniel@example.com,"New York, USA",True,True,True
580,A. Donovan,476-401-9860,Aayan.Donovan@example.com,"Paris, France",True,False,True
669,A. Marsh,653-601-4374,Abdirahman.Marsh@example.com,"Toronto, Canada",False,True,False
149,A. Mullen,669-442-8257,Abdirahman.Mullen@example.com,"Toronto, Canada",True,True,True
809,A. Carson,632-547-8327,Abdullahi.Carson@example.com,"Toronto, Canada",True,True,True
428,A. Montgomery,904-933-1987,Abi.Montgomery@example.com,"Montreal, Canada",False,False,True
729,A. Medina,857-602-1192,Abigail.Medina@example.com,"London, United Kingdom",True,False,True
657,A. Delacruz,401-411-2184,Abu.Delacruz@example.com,"New York, USA",True,True,False
480,A. Miranda,615-102-4849,Abu.Miranda@example.com,"Los Angeles, USA",False,True,True
46,A. House,713-179-2294,Abubakar.House@example.com,"San Diego, USA",False,False,True
330,A. Shaffer,404-849-9394,Abubakar.Shaffer@example.com,"Barcelona, Spain",True,False,False
999,A. Reid,958-944-9616,Ada.Reid@example.com,"Chicago, USA",True,True,True
534,A. Walsh,391-963-8942,Ada.Walsh@example.com,"San Francisco, USA",False,False,True
289,A. Cantrell,264-319-7312,Adele.Cantrell@example.com,"New York, USA",True,False,True
17,A. Garza,429-916-1662,Adele.Garza@example.com,"New York, USA",True,True,True
754,A. Kerr,219-873-6077,Adem.Kerr@example.com,"Toronto, Canada",False,True,False
830,A. Mccoy,885-779-4082,Adem.Mccoy@example.com,"San Francisco, USA",True,True,True
138,A. Allen,561-365-7378,Adnan.Allen@example.com,"Chicago, USA",True,False,True
408,A. Moore,132-644-9432,Adnan.Moore@example.com,"San Francisco, USA",False,True,False
984,A. Joseph,808-456-6071,Adrian.Joseph@example.com,"Chicago, USA",True,True,True
141,A. Stafford,473-741-6496,Adriana.Stafford@example.com,"Montreal, Canada",False,True,False
81,A. Castro,629-807-5687,Ahmad.Castro@example.com,"San Francisco, USA",True,False,False
890,A. Landry,207-841-9893,Ahmad.Landry@example.com,"Los Angeles, USA",False,False,True
482,A. Patrick,875-486-1626,Ahmad.Patrick@example.com,"Toronto, Canada",True,True,False
414,A. Mcpherson,797-300-1323,Ahmed.Mcpherson@example.com,"Los Angeles, USA",True,False,False
525,A. Mcmahon,896-647-2628,Aidan.Mcmahon@example.com,"New York, USA",True,True,True
112,A. Galvan,559-282-1575,Aiden.Galvan@example.com,"San Diego, USA",False,False,True
157,A. Duffy,856-144-7655,Aimee.Duffy@example.com,"San Diego, USA",True,True,False
838,A. Sosa,964-448-9785,Aisha.Sosa@example.com,"New York, USA",False,True,False
66,A. Webb,447-728-9592,Aisha.Webb@example.com,"San Francisco, USA",True,False,True
232,A. Winters,280-831-1664,Aisha.Winters@example.com,"Toronto, Canada",False,False,True
436,A. Burton,795-682-8733,Alan.Burton@example.com,"San Francisco, USA",True,False,False
898,A. Koch,576-828-7913,Alana.Koch@example.com,"Barcelona, Spain",False,True,True
196,A. Stephens,710-282-8586,Alanna.Stephens@example.com,"Chicago, USA",False,True,False
929,A. Perkins,705-521-6039,Alannah.Perkins@example.com,"Chicago, USA",True,True,False
431,A. Vaughn,942-130-5841,Alannah.Vaughn@example.com,"San Francisco, USA",True,False,False
874,A. Mckinney,608-300-8331,Alasdair.Mckinney@example.com,"Montreal, Canada",True,False,True
