id,Name,Phone,Email,Location,Android,iPhone,Desktop
299,Aadam Browning,702-276-7562,Aadam.Browning@example.com,"San Francisco, USA",True,True,True
335,Aaminah Daniel,877-314-7868,Aaminah.Daniel@example.com,"New York, USA",True,True,True
580,Aayan Donovan,476-401-9860,Aayan.Donovan@example.com,"Paris, France",True,False,True
669,Abdirahman Marsh,653-601-4374,Abdirahman.Marsh@example.com,"Toronto, Canada",False,True,False
149,Abdirahman Mullen,669-442-8257,Abdirahman.Mullen@example.com,"Toronto, Canada",True,True,True
809,Abdullahi Carson,632-547-8327,Abdullahi.Carson@example.com,"Toronto, Canada",True,True,True
428,Abi Montgomery,904-933-1987,Abi.Montgomery@example.com,"Montreal, Canada",False,False,True
729,Abigail Medina,857-602-1192,Abigail.Medina@example.com,"London, United Kingdom",True,False,True
657,Abu Delacruz,401-411-2184,Abu.Delacruz@example.com,"New York, USA",True,True,False
480,Abu Miranda,615-102-4849,Abu.Miranda@example.com,"Los Angeles, USA",False,True,True
46,Abubakar House,713-179-2294,Abubakar.House@example.com,"San Diego, USA",False,False,True
330,Abubakar Shaffer,404-849-9394,Abubakar.Shaffer@example.com,"Barcelona, Spain",True,False,False
999,Ada Reid,958-944-9616,Ada.Reid@example.com,"Chicago, USA",True,True,True
534,Ada Walsh,391-963-8942,Ada.Walsh@example.com,"San Francisco, USA",False,False,True
289,Adele Cantrell,264-319-7312,Adele.Cantrell@example.com,"New York, USA",True,False,True
17,Adele Garza,429-916-1662,Adele.Garza@example.com,"New York, USA",True,True,True
754,Adem Kerr,219-873-6077,Adem.Kerr@example.com,"Toronto, Canada",False,True,False
830,Adem Mccoy,885-779-4082,Adem.Mccoy@example.com,"San Francisco, USA",True,True,True
138,Adnan Allen,561-365-7378,Adnan.Allen@example.com,"Chicago, USA",True,False,True
408,Adnan Moore,132-644-9432,Adnan.Moore@example.com,"San Francisco, USA",False,True,False
984,Adrian Joseph,808-456-6071,Adrian.Joseph@example.com,"Chicago, USA",True,True,True
141,Adriana Stafford,473-741-6496,Adriana.Stafford@example.com,"Montreal, Canada",False,True,False
81,Ahmad Castro,629-807-5687,Ahmad.Castro@example.com,"San Francisco, USA",True,False,False
890,Ahmad Landry,207-841-9893,Ahmad.Landry@example.com,"Los Angeles, USA",False,False,True
482,Ahmad Patrick,875-486-1626,Ahmad.Patrick@example.com,"Toronto, Canada",True,True,False
414,Ahmed Mcpherson,797-300-1323,Ahmed.Mcpherson@example.com,"Los Angeles, USA",True,False,False
525,Aidan Mcmahon,896-647-2628,Aidan.Mcmahon@example.com,"New York, USA",True,True,True
112,Aiden Galvan,559-282-1575,Aiden.Galvan@example.com,"San Diego, USA",False,False,True
157,Aimee Duffy,856-144-7655,Aimee.Duffy@example.com,"San Diego, USA",True,True,False
838,Aisha Sosa,964-448-9785,Aisha.Sosa@example.com,"New York, USA",False,True,False
66,Aisha Webb,447-728-9592,Aisha.Webb@example.com,"San Francisco, USA",True,False,True
232,Aisha Winters,280-831-1664,Aisha.Winters@example.com,"Toronto, Canada",False,False,True
